treatment	sex	readout
control	male	5.11311353
control	male	6.431754353
control	male	6.419359318
control	male	5.755852866
control	male	5.654500322
control	male	5.346387226
control	female	5.556644044
control	female	5.278889391
control	female	5.343626302
control	female	5.880828964
control	female	5.775577885
control	female	5.890998979
control	female	5.252239736
drug 1	male	11.03498313
drug 1	male	11.48874381
drug 1	male	10.52232162
drug 1	male	9.927903352
drug 1	male	10.8141508
drug 1	male	10.37213946
drug 1	male	10.06850022
drug 1	female	10.75143532
drug 1	female	10.81351297
drug 1	female	10.86853243
drug 1	female	9.557473991
drug 1	female	10.79184456
drug 1	female	9.217641989
drug 2	male	7.105868898
drug 2	male	6.23397614
drug 2	male	6.805707783
drug 2	male	6.277054264
drug 2	male	6.536938772
drug 2	male	6.0878542
drug 2	male	6.947330095
drug 2	female	6.773841218
drug 2	female	6.438722936
drug 2	female	6.287403684
drug 2	female	6.461635536
drug 2	female	6.500197522
drug 2	female	6.258664649
drug 2	female	7.111830752
drug 2	female	6.236384817
